benchmark,tier,method,seed,instance_id,eval_mode,solved,steps,optimal_steps,rollouts_to_solve,final_entropy,provenance
rush_hour,d10,hrep,0,d10_p0,greedy,1,17.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p0,stochastic,1,17.1,10,,,trusted
rush_hour,d10,vrep,0,d10_p0,greedy,1,17.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p0,stochastic,1,17.1,10,,,trusted
rush_hour,d10,gnn,0,d10_p0,greedy,1,17.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p0,stochastic,1,17.1,10,,,trusted
rush_hour,d10,mlp,0,d10_p0,greedy,1,17.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p0,stochastic,1,17.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p0,greedy,1,17.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p0,stochastic,1,17.1,10,,,trusted
rush_hour,d10,hrep,0,d10_p1,greedy,1,16.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p1,stochastic,1,16.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p1,greedy,1,16.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p1,stochastic,1,16.2,10,,,trusted
rush_hour,d10,gnn,0,d10_p1,greedy,1,16.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p1,stochastic,1,19.9,10,,,trusted
rush_hour,d10,mlp,0,d10_p1,greedy,1,16.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p1,stochastic,1,16.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p1,greedy,1,16.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p1,stochastic,1,16.1,10,,,trusted
rush_hour,d10,hrep,0,d10_p2,greedy,1,18.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p2,stochastic,1,18.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p2,greedy,1,16.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p2,stochastic,1,16.1,10,,,trusted
rush_hour,d10,gnn,0,d10_p2,greedy,1,18.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p2,stochastic,1,18.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p2,greedy,1,18.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p2,stochastic,1,25.6,10,,,trusted
rush_hour,d10,cnn,0,d10_p2,greedy,1,16.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p2,stochastic,1,16.2,10,,,trusted
rush_hour,d10,hrep,0,d10_p3,greedy,1,16.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p3,stochastic,1,16.8,10,,,trusted
rush_hour,d10,vrep,0,d10_p3,greedy,1,16.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p3,stochastic,1,16.4,10,,,trusted
rush_hour,d10,gnn,0,d10_p3,greedy,1,16.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p3,stochastic,1,16.2,10,,,trusted
rush_hour,d10,mlp,0,d10_p3,greedy,1,19.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p3,stochastic,1,19.1,10,,,trusted
rush_hour,d10,cnn,0,d10_p3,greedy,1,16.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p3,stochastic,1,16.2,10,,,trusted
rush_hour,d10,hrep,0,d10_p4,greedy,1,16.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p4,stochastic,1,16.1,10,,,trusted
rush_hour,d10,vrep,0,d10_p4,greedy,1,16.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p4,stochastic,1,16.1,10,,,trusted
rush_hour,d10,gnn,0,d10_p4,greedy,1,16.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p4,stochastic,1,16.3,10,,,trusted
rush_hour,d10,mlp,0,d10_p4,greedy,1,16.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p4,stochastic,1,16.1,10,,,trusted
rush_hour,d10,cnn,0,d10_p4,greedy,1,16.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p4,stochastic,1,16.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p5,greedy,1,5.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p5,stochastic,1,5.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p5,greedy,1,5.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p5,stochastic,1,5.2,10,,,trusted
rush_hour,d10,gnn,0,d10_p5,greedy,1,5.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p5,stochastic,1,5.2,10,,,trusted
rush_hour,d10,mlp,0,d10_p5,greedy,1,5.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p5,stochastic,1,5.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p5,greedy,1,5.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p5,stochastic,1,5.1,10,,,trusted
rush_hour,d10,hrep,0,d10_p6,greedy,1,19.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p6,stochastic,1,19.1,10,,,trusted
rush_hour,d10,vrep,0,d10_p6,greedy,1,18.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p6,stochastic,1,18.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p6,greedy,1,18.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p6,stochastic,1,18.2,10,,,trusted
rush_hour,d10,mlp,0,d10_p6,greedy,1,18.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p6,stochastic,1,18.2,10,,,trusted
rush_hour,d10,cnn,0,d10_p6,greedy,1,18.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p6,stochastic,1,18.1,10,,,trusted
rush_hour,d10,hrep,0,d10_p7,greedy,1,19.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p7,stochastic,1,19.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p7,greedy,1,19.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p7,stochastic,1,21.9,10,,,trusted
rush_hour,d10,gnn,0,d10_p7,greedy,1,19.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p7,stochastic,1,19.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p7,greedy,1,17.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p7,stochastic,1,17.1,10,,,trusted
rush_hour,d10,cnn,0,d10_p7,greedy,1,19.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p7,stochastic,1,19.1,10,,,trusted
rush_hour,d10,hrep,0,d10_p8,greedy,1,17.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p8,stochastic,1,17.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p8,greedy,1,17.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p8,stochastic,1,17.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p8,greedy,1,17.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p8,stochastic,1,17.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p8,greedy,1,17.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p8,stochastic,1,17.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p8,greedy,1,17.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p8,stochastic,1,17.1,10,,,trusted
rush_hour,d10,hrep,0,d10_p9,greedy,1,19.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p9,stochastic,1,19.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p9,greedy,1,20.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p9,stochastic,1,20.2,10,,,trusted
rush_hour,d10,gnn,0,d10_p9,greedy,1,26.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p9,stochastic,1,25.4,10,,,trusted
rush_hour,d10,mlp,0,d10_p9,greedy,0,,10,,,trusted
rush_hour,d10,mlp,0,d10_p9,stochastic,0,,10,,,trusted
rush_hour,d10,cnn,0,d10_p9,greedy,1,19.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p9,stochastic,1,19.1,10,,,trusted
rush_hour,d10,hrep,0,d10_p10,greedy,0,,10,,,trusted
rush_hour,d10,hrep,0,d10_p10,stochastic,0,185.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p10,greedy,1,15.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p10,stochastic,1,15.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p10,greedy,1,16.0,10,,,trusted
rush_hour,d10,gnn,0,d10_p10,stochastic,1,16.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p10,greedy,1,15.0,10,,,trusted
rush_hour,d10,mlp,0,d10_p10,stochastic,1,15.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p10,greedy,1,15.0,10,,,trusted
rush_hour,d10,cnn,0,d10_p10,stochastic,1,15.1,10,,,trusted
rush_hour,d10,hrep,0,d10_p11,greedy,1,18.0,10,,,trusted
rush_hour,d10,hrep,0,d10_p11,stochastic,1,18.0,10,,,trusted
rush_hour,d10,vrep,0,d10_p11,greedy,1,18.0,10,,,trusted
